N tiempo medio_ob min_ob max_ob
8550 0.030121 25464.900000 17168 42732 
8600 0.030187 25408.170000 17392 42807 
8650 0.032435 26327.090000 17559 44159 
8700 0.038024 26403.190000 17666 43010 
8750 0.030529 25693.980000 17576 39856 
8800 0.029649 26105.480000 17837 50269 
8850 0.029259 25975.800000 17908 50602 
8900 0.029438 27569.740000 18077 45983 
8950 0.031412 26382.710000 18246 52247 
9000 0.029992 27119.150000 18023 56886 
9050 0.030181 26714.680000 18230 44403 
9100 0.030011 27185.980000 18940 46347 
9150 0.030772 27480.750000 18321 45491 
9200 0.033409 27819.050000 18526 52943 
9250 0.031016 28418.110000 18560 48814 
9300 0.030796 27898.470000 18800 49144 
9350 0.031066 27951.430000 19300 57835 
9400 0.031135 27669.500000 18900 59224 
9450 0.031398 28861.210000 18934 47317 
9500 0.031477 28113.500000 19111 44530 
9550 0.031620 28807.110000 19125 50341 
9600 0.032060 29357.060000 19270 53942 
9650 0.031942 28508.690000 19310 49513 
9700 0.032162 29132.560000 19635 47437 
9750 0.032466 29224.310000 19546 48158 
9800 0.032390 29944.350000 19597 45943 
9850 0.032706 28287.960000 20034 48690 
9900 0.032787 30167.120000 19967 52194 
9950 0.032976 30207.490000 20185 61838 
10000 0.033120 30861.340000 20050 57432 
